delay,freq,condition,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,polygon.started,polygon_2.started,key_resp.started,polygon.stopped,key_resp.keys,key_resp.rt,sound_1.started,text.started,textbox.started,button.started,textbox.text,button.numClicks,button.timesOn,button.timesOff,sound_1.stopped,participant,session,date,expName,psychopyVersion,frameRate,
0.1,1000.0,exp,1,0,12,3,105.53605130012147,106.53643249999732,106.53643249999732,106.53643249999732,space,0.4430199000053108,107.10315301993396,107.40485380007885,107.40485380007885,107.40485380007885,50,13,"[5.331308400025591, 5.636252099880949, 4.816584900021553, 4.498150700004771, 3.714333200128749, 3.1334275000263005, 5.547268700087443, 3.634588399901986, 2.314312499947846, 3.3819099999964237, 4.231005700072274, 4.231807600008324, 7.167142800055444]","[5.331316500203684, 5.636258800048381, 4.816592999966815, 4.49815719993785, 3.7143385000526905, 3.1334343999624252, 5.547276700148359, 3.634594799950719, 2.3143195000011474, 3.3819162000436336, 4.231013500131667, 4.231814600061625, 7.167150299996138]",,sudhanshu,001,2022-11-09_18h23.50.514,tutorial 7,2022.2.2,59.93069614550428,
0.7,400.0,unexp,1,1,13,2,114.5698309999425,115.57004570006393,115.57004570006393,115.57004570006393,space,0.9521176000125706,117.25331662015523,117.55339070013724,117.55339070013724,117.55339070013724,100,14,"[5.331308400025591, 5.636252099880949, 4.816584900021553, 4.498150700004771, 3.714333200128749, 3.1334275000263005, 5.547268700087443, 3.634588399901986, 2.314312499947846, 3.3819099999964237, 4.231005700072274, 4.231807600008324, 7.167142800055444, 2.2020183000713587]","[5.331316500203684, 5.636258800048381, 4.816592999966815, 4.49815719993785, 3.7143385000526905, 3.1334343999624252, 5.547276700148359, 3.634594799950719, 2.3143195000011474, 3.3819162000436336, 4.231013500131667, 4.231814600061625, 7.167150299996138, 2.202028499916196]",,sudhanshu,001,2022-11-09_18h23.50.514,tutorial 7,2022.2.2,59.93069614550428,
0.1,1000.0,exp,1,2,14,9,119.75333600002341,120.75337780010886,120.75337780010886,120.75337780010886,space,1.0711339998524636,121.9536026199581,122.25563249993138,122.25563249993138,122.25563249993138,50,15,"[5.331308400025591, 5.636252099880949, 4.816584900021553, 4.498150700004771, 3.714333200128749, 3.1334275000263005, 5.547268700087443, 3.634588399901986, 2.314312499947846, 3.3819099999964237, 4.231005700072274, 4.231807600008324, 7.167142800055444, 2.2020183000713587, 3.4477963999379426]","[5.331316500203684, 5.636258800048381, 4.816592999966815, 4.49815719993785, 3.7143385000526905, 3.1334343999624252, 5.547276700148359, 3.634594799950719, 2.3143195000011474, 3.3819162000436336, 4.231013500131667, 4.231814600061625, 7.167150299996138, 2.202028499916196, 3.447803899878636]",122.25563249993138,sudhanshu,001,2022-11-09_18h23.50.514,tutorial 7,2022.2.2,59.93069614550428,
0.4,1000.0,exp,1,3,15,4,125.70378930005245,126.70378560014069,126.70378560014069,126.70378560014069,space,0.26715259975753725,127.38698402002919,127.68752539996058,127.68752539996058,127.68752539996058,100,16,"[5.331308400025591, 5.636252099880949, 4.816584900021553, 4.498150700004771, 3.714333200128749, 3.1334275000263005, 5.547268700087443, 3.634588399901986, 2.314312499947846, 3.3819099999964237, 4.231005700072274, 4.231807600008324, 7.167142800055444, 2.2020183000713587, 3.4477963999379426, 1.8484889999963343]","[5.331316500203684, 5.636258800048381, 4.816592999966815, 4.49815719993785, 3.7143385000526905, 3.1334343999624252, 5.547276700148359, 3.634594799950719, 2.3143195000011474, 3.3819162000436336, 4.231013500131667, 4.231814600061625, 7.167150299996138, 2.202028499916196, 3.447803899878636, 1.8484968000557274]",,sudhanshu,001,2022-11-09_18h23.50.514,tutorial 7,2022.2.2,59.93069614550428,
0.4,1000.0,exp,1,4,16,10,129.53721450013109,130.537224000087,130.537224000087,130.537224000087,space,0.2730996999889612,131.23741102011408,131.5395881999284,131.5395881999284,131.5395881999284,200,17,"[5.331308400025591, 5.636252099880949, 4.816584900021553, 4.498150700004771, 3.714333200128749, 3.1334275000263005, 5.547268700087443, 3.634588399901986, 2.314312499947846, 3.3819099999964237, 4.231005700072274, 4.231807600008324, 7.167142800055444, 2.2020183000713587, 3.4477963999379426, 1.8484889999963343, 2.0663741999305785]","[5.331316500203684, 5.636258800048381, 4.816592999966815, 4.49815719993785, 3.7143385000526905, 3.1334343999624252, 5.547276700148359, 3.634594799950719, 2.3143195000011474, 3.3819162000436336, 4.231013500131667, 4.231814600061625, 7.167150299996138, 2.202028499916196, 3.447803899878636, 1.8484968000557274, 2.066382799996063]",,sudhanshu,001,2022-11-09_18h23.50.514,tutorial 7,2022.2.2,59.93069614550428,
0.7,1000.0,exp,1,5,17,5,133.60391820012592,134.60425440012477,134.60425440012477,134.60425440012477,space,0.26837099995464087,135.60424642011057,135.90442120004445,135.90442120004445,135.90442120004445,300,18,"[5.331308400025591, 5.636252099880949, 4.816584900021553, 4.498150700004771, 3.714333200128749, 3.1334275000263005, 5.547268700087443, 3.634588399901986, 2.314312499947846, 3.3819099999964237, 4.231005700072274, 4.231807600008324, 7.167142800055444, 2.2020183000713587, 3.4477963999379426, 1.8484889999963343, 2.0663741999305785, 2.2625851000193506]","[5.331316500203684, 5.636258800048381, 4.816592999966815, 4.49815719993785, 3.7143385000526905, 3.1334343999624252, 5.547276700148359, 3.634594799950719, 2.3143195000011474, 3.3819162000436336, 4.231013500131667, 4.231814600061625, 7.167150299996138, 2.202028499916196, 3.447803899878636, 1.8484968000557274, 2.066382799996063, 2.262596599990502]",,sudhanshu,001,2022-11-09_18h23.50.514,tutorial 7,2022.2.2,59.93069614550428,
0.7,1000.0,exp,1,6,18,11,138.15985419997014,139.15442020003684,139.15442020003684,139.17089419998229,space,0.296883299946785,140.17153032009955,140.47343940008432,140.47343940008432,140.47343940008432,400,19,"[5.331308400025591, 5.636252099880949, 4.816584900021553, 4.498150700004771, 3.714333200128749, 3.1334275000263005, 5.547268700087443, 3.634588399901986, 2.314312499947846, 3.3819099999964237, 4.231005700072274, 4.231807600008324, 7.167142800055444, 2.2020183000713587, 3.4477963999379426, 1.8484889999963343, 2.0663741999305785, 2.2625851000193506, 2.149880199925974]","[5.331316500203684, 5.636258800048381, 4.816592999966815, 4.49815719993785, 3.7143385000526905, 3.1334343999624252, 5.547276700148359, 3.634594799950719, 2.3143195000011474, 3.3819162000436336, 4.231013500131667, 4.231814600061625, 7.167150299996138, 2.202028499916196, 3.447803899878636, 1.8484968000557274, 2.066382799996063, 2.262596599990502, 2.149888099869713]",,sudhanshu,001,2022-11-09_18h23.50.514,tutorial 7,2022.2.2,59.93069614550428,
0.4,400.0,unexp,1,7,19,1,142.62133080000058,143.62103469995782,143.62103469995782,143.62103469995782,space,0.3765432999935001,144.42121432002168,144.7212602000218,144.7212602000218,144.7212602000218,100,20,"[5.331308400025591, 5.636252099880949, 4.816584900021553, 4.498150700004771, 3.714333200128749, 3.1334275000263005, 5.547268700087443, 3.634588399901986, 2.314312499947846, 3.3819099999964237, 4.231005700072274, 4.231807600008324, 7.167142800055444, 2.2020183000713587, 3.4477963999379426, 1.8484889999963343, 2.0663741999305785, 2.2625851000193506, 2.149880199925974, 2.8145701999310404]","[5.331316500203684, 5.636258800048381, 4.816592999966815, 4.49815719993785, 3.7143385000526905, 3.1334343999624252, 5.547276700148359, 3.634594799950719, 2.3143195000011474, 3.3819162000436336, 4.231013500131667, 4.231814600061625, 7.167150299996138, 2.202028499916196, 3.447803899878636, 1.8484968000557274, 2.066382799996063, 2.262596599990502, 2.149888099869713, 2.8145759999752045]",,sudhanshu,001,2022-11-09_18h23.50.514,tutorial 7,2022.2.2,59.93069614550428,
0.4,1000.0,exp,1,8,20,7,147.53798020002432,148.5380897000432,148.5380897000432,148.5380897000432,space,0.3273610998876393,149.28831931997556,149.58867680002004,149.58867680002004,149.58867680002004,100,21,"[5.331308400025591, 5.636252099880949, 4.816584900021553, 4.498150700004771, 3.714333200128749, 3.1334275000263005, 5.547268700087443, 3.634588399901986, 2.314312499947846, 3.3819099999964237, 4.231005700072274, 4.231807600008324, 7.167142800055444, 2.2020183000713587, 3.4477963999379426, 1.8484889999963343, 2.0663741999305785, 2.2625851000193506, 2.149880199925974, 2.8145701999310404, 2.86525829997845]","[5.331316500203684, 5.636258800048381, 4.816592999966815, 4.49815719993785, 3.7143385000526905, 3.1334343999624252, 5.547276700148359, 3.634594799950719, 2.3143195000011474, 3.3819162000436336, 4.231013500131667, 4.231814600061625, 7.167150299996138, 2.202028499916196, 3.447803899878636, 1.8484968000557274, 2.066382799996063, 2.262596599990502, 2.149888099869713, 2.8145759999752045, 2.86526450002566]",149.58867680002004,sudhanshu,001,2022-11-09_18h23.50.514,tutorial 7,2022.2.2,59.93069614550428,
0.1,400.0,unexp,1,9,21,0,152.45472249994054,153.4548707001377,153.4548707001377,153.4548707001377,space,0.3240956999361515,153.9051339200465,154.20525970007293,154.20525970007293,154.20525970007293,100,22,"[5.331308400025591, 5.636252099880949, 4.816584900021553, 4.498150700004771, 3.714333200128749, 3.1334275000263005, 5.547268700087443, 3.634588399901986, 2.314312499947846, 3.3819099999964237, 4.231005700072274, 4.231807600008324, 7.167142800055444, 2.2020183000713587, 3.4477963999379426, 1.8484889999963343, 2.0663741999305785, 2.2625851000193506, 2.149880199925974, 2.8145701999310404, 2.86525829997845, 2.6998880999162793]","[5.331316500203684, 5.636258800048381, 4.816592999966815, 4.49815719993785, 3.7143385000526905, 3.1334343999624252, 5.547276700148359, 3.634594799950719, 2.3143195000011474, 3.3819162000436336, 4.231013500131667, 4.231814600061625, 7.167150299996138, 2.202028499916196, 3.447803899878636, 1.8484968000557274, 2.066382799996063, 2.262596599990502, 2.149888099869713, 2.8145759999752045, 2.86526450002566, 2.6998938999604434]",,sudhanshu,001,2022-11-09_18h23.50.514,tutorial 7,2022.2.2,59.93069614550428,
